invoice_id,customer_id,amount,issue_date,due_date,days_overdue,status
INV000001,CUST000068,111700.0,2026-08-07,2026-08-22,9,overdue
INV000002,CUST004019,18200.0,2026-02-16,2026-04-02,151,written_off
INV000003,CUST006267,161500.0,2026-07-12,2026-08-11,20,paid
INV000004,CUST006629,228400.0,2026-08-10,2026-09-09,-9,not_yet_due
INV000005,CUST000264,22800.0,2026-06-30,2026-08-14,17,overdue
INV000006,CUST005890,17700.0,2026-07-19,2026-09-02,-2,overdue
INV000007,CUST009080,118000.0,2026-04-14,2026-05-29,94,overdue
INV000008,CUST000395,80700.0,2026-04-25,2026-05-25,98,overdue
INV000009,CUST005534,47700.0,2026-03-20,2026-04-19,134,overdue
INV000010,CUST008326,108200.0,2026-03-16,2026-04-15,138,overdue
INV000011,CUST003185,41300.0,2026-06-21,2026-07-21,41,overdue
INV000012,CUST000561,38500.0,2026-03-23,2026-04-22,131,written_off
INV000013,CUST003077,106100.0,2026-07-31,2026-08-30,1,overdue
INV000014,CUST001341,14500.0,2026-05-03,2026-07-02,60,overdue
INV000015,CUST003553,234000.0,2026-06-30,2026-07-30,32,overdue
INV000016,CUST007100,27100.0,2026-05-21,2026-07-05,57,overdue
INV000017,CUST005414,28200.0,2026-02-22,2026-03-24,160,overdue
INV000018,CUST004745,62600.0,2026-06-24,2026-07-24,38,paid
INV000019,CUST004568,114400.0,2026-07-25,2026-08-24,7,overdue
INV000020,CUST004703,21300.0,2026-03-08,2026-03-23,161,overdue
INV000021,CUST005223,20300.0,2026-04-30,2026-06-14,78,overdue
INV000022,CUST009538,249200.0,2026-04-27,2026-06-11,81,overdue
INV000023,CUST009689,17200.0,2026-04-14,2026-05-29,94,written_off
INV000024,CUST009129,80500.0,2026-07-24,2026-08-23,8,overdue
INV000025,CUST001697,5200.0,2026-07-06,2026-07-21,41,written_off
INV000026,CUST004333,25500.0,2026-08-10,2026-08-25,6,paid
INV000027,CUST009379,132000.0,2026-06-18,2026-07-18,44,overdue
INV000028,CUST003123,278700.0,2026-06-15,2026-07-15,47,overdue
INV000029,CUST004634,129600.0,2026-06-23,2026-07-08,54,paid
INV000030,CUST007655,86000.0,2026-06-04,2026-07-04,58,overdue
INV000031,CUST005030,28300.0,2026-04-08,2026-04-23,130,paid
INV000032,CUST004631,76000.0,2026-03-21,2026-04-20,133,paid
INV000033,CUST004639,17700.0,2026-07-08,2026-08-22,9,written_off
INV000034,CUST002956,150000.0,2026-08-10,2026-09-09,-9,not_yet_due
INV000035,CUST000409,18500.0,2026-06-10,2026-06-25,67,written_off
INV000036,CUST004851,41600.0,2026-07-14,2026-08-13,18,paid
INV000037,CUST000184,186500.0,2026-03-17,2026-05-16,107,overdue
INV000038,CUST004911,32700.0,2026-07-21,2026-08-05,26,overdue
INV000039,CUST006552,130400.0,2026-08-08,2026-09-22,-10,not_yet_due
INV000040,CUST003102,47600.0,2026-02-20,2026-03-22,162,written_off
INV000041,CUST009151,28300.0,2026-05-21,2026-06-05,87,paid
INV000042,CUST005558,108700.0,2026-07-05,2026-08-19,12,overdue
INV000043,CUST000682,500000.0,2026-03-11,2026-04-10,143,overdue
INV000044,CUST008025,75800.0,2026-05-14,2026-06-13,79,overdue
INV000045,CUST007862,222500.0,2026-06-10,2026-07-25,37,overdue
INV000046,CUST008941,26100.0,2026-07-31,2026-09-29,-10,written_off
INV000047,CUST006927,48300.0,2026-06-26,2026-08-10,21,paid
INV000048,CUST008743,11500.0,2026-03-21,2026-05-20,103,written_off
INV000049,CUST007307,186000.0,2026-03-05,2026-05-04,119,paid
INV000050,CUST002059,56700.0,2026-05-02,2026-06-16,76,overdue
INV000051,CUST004766,272500.0,2026-05-03,2026-05-18,105,overdue
INV000052,CUST002814,39100.0,2026-07-03,2026-08-02,29,overdue
INV000053,CUST003805,15000.0,2026-07-20,2026-08-19,12,paid
INV000054,CUST005979,24000.0,2026-04-10,2026-04-25,128,written_off
INV000055,CUST001941,172400.0,2026-07-05,2026-07-20,42,paid
INV000056,CUST000413,39800.0,2026-03-29,2026-04-28,125,written_off
INV000057,CUST003453,83400.0,2026-06-20,2026-07-20,42,overdue
INV000058,CUST009036,91400.0,2026-03-17,2026-04-16,137,overdue
INV000059,CUST000523,24300.0,2026-07-29,2026-09-12,-10,written_off
INV000060,CUST007366,34000.0,2026-04-06,2026-05-06,117,written_off
INV000061,CUST003184,7600.0,2026-07-07,2026-08-06,25,written_off
INV000062,CUST004256,72400.0,2026-06-28,2026-08-27,4,paid
INV000063,CUST009466,13100.0,2026-02-21,2026-03-08,176,paid
INV000064,CUST003667,75500.0,2026-03-10,2026-03-25,159,paid
INV000065,CUST007845,20300.0,2026-04-06,2026-04-21,132,overdue
INV000066,CUST001661,22500.0,2026-03-31,2026-04-30,123,written_off
INV000067,CUST009718,21400.0,2026-03-15,2026-04-29,124,written_off
INV000068,CUST000535,107700.0,2026-07-11,2026-08-10,21,paid
INV000069,CUST006893,135500.0,2026-04-07,2026-05-22,101,overdue
INV000070,CUST003590,39300.0,2026-05-29,2026-06-28,64,paid
INV000071,CUST006385,97400.0,2026-03-26,2026-04-10,143,written_off
INV000072,CUST001994,73200.0,2026-06-30,2026-07-30,32,paid
INV000073,CUST005081,59200.0,2026-08-02,2026-09-01,-1,overdue
INV000074,CUST008853,27100.0,2026-06-28,2026-08-12,19,written_off
INV000075,CUST003352,23500.0,2026-04-02,2026-04-17,136,written_off
INV000076,CUST004388,16100.0,2026-06-02,2026-07-17,45,written_off
INV000077,CUST003303,18900.0,2026-03-05,2026-04-04,149,paid
INV000078,CUST008338,16400.0,2026-08-02,2026-08-17,14,overdue
INV000079,CUST009473,24000.0,2026-03-18,2026-05-17,106,overdue
INV000080,CUST003673,100300.0,2026-02-16,2026-04-17,136,overdue
INV000081,CUST009192,126700.0,2026-03-11,2026-04-25,128,overdue
INV000082,CUST006992,27800.0,2026-05-29,2026-07-13,49,overdue
INV000083,CUST007248,18100.0,2026-04-11,2026-05-26,97,written_off
INV000084,CUST008961,90600.0,2026-04-09,2026-05-09,114,overdue
INV000085,CUST000762,47900.0,2026-05-16,2026-07-15,47,written_off
INV000086,CUST003032,29100.0,2026-06-26,2026-07-11,51,paid
INV000087,CUST001674,32500.0,2026-07-29,2026-08-13,18,written_off
INV000088,CUST009717,256100.0,2026-07-16,2026-08-30,1,overdue
INV000089,CUST004260,5000.0,2026-05-05,2026-06-04,88,paid
INV000090,CUST008543,153800.0,2026-05-23,2026-06-22,70,overdue
INV000091,CUST006054,64600.0,2026-06-26,2026-07-26,36,overdue
INV000092,CUST004972,98400.0,2026-03-06,2026-04-05,148,overdue
INV000093,CUST002388,136400.0,2026-08-11,2026-09-25,-10,not_yet_due
INV000094,CUST009580,84300.0,2026-04-28,2026-05-28,95,overdue
INV000095,CUST007221,227600.0,2026-05-23,2026-06-07,85,overdue
INV000096,CUST001660,320500.0,2026-05-06,2026-05-21,102,overdue
INV000097,CUST001669,49100.0,2026-04-04,2026-05-04,119,overdue
INV000098,CUST004778,31700.0,2026-04-10,2026-05-25,98,overdue
INV000099,CUST001053,89300.0,2026-06-14,2026-07-14,48,overdue
INV000100,CUST001792,68700.0,2026-04-04,2026-05-04,119,overdue
INV000101,CUST003655,64200.0,2026-05-28,2026-06-12,80,overdue
INV000102,CUST004927,176600.0,2026-03-20,2026-04-19,134,overdue
INV000103,CUST002940,71600.0,2026-03-08,2026-04-07,146,overdue
INV000104,CUST000294,61900.0,2026-04-18,2026-06-17,75,overdue
INV000105,CUST007389,25800.0,2026-07-11,2026-08-10,21,overdue
INV000106,CUST000781,57400.0,2026-06-23,2026-07-23,39,overdue
INV000107,CUST004043,8000.0,2026-08-07,2026-09-21,-10,written_off
INV000108,CUST004325,37700.0,2026-07-08,2026-07-23,39,paid
INV000109,CUST006824,233000.0,2026-02-22,2026-03-24,160,paid
INV000110,CUST008614,76200.0,2026-06-22,2026-08-06,25,overdue
INV000111,CUST009508,16700.0,2026-02-27,2026-03-14,170,written_off
INV000112,CUST006136,84500.0,2026-05-14,2026-06-13,79,overdue
INV000113,CUST004565,36300.0,2026-08-01,2026-08-31,0,written_off
INV000114,CUST002382,29900.0,2026-04-22,2026-05-22,101,paid
INV000115,CUST005289,62800.0,2026-03-05,2026-05-04,119,paid
INV000116,CUST007444,48800.0,2026-02-23,2026-03-25,159,written_off
INV000117,CUST006957,157600.0,2026-07-28,2026-09-11,-10,not_yet_due
INV000118,CUST005622,102400.0,2026-03-08,2026-04-07,146,paid
INV000119,CUST001179,36100.0,2026-04-08,2026-05-08,115,overdue
INV000120,CUST004070,25900.0,2026-04-09,2026-06-08,84,written_off
INV000121,CUST005465,46400.0,2026-05-28,2026-07-27,35,paid
INV000122,CUST001434,18900.0,2026-05-25,2026-06-24,68,written_off
INV000123,CUST006402,43200.0,2026-04-08,2026-04-23,130,paid
INV000124,CUST004358,135900.0,2026-03-17,2026-04-01,152,overdue
INV000125,CUST000482,131000.0,2026-04-02,2026-05-17,106,overdue
INV000126,CUST007763,183000.0,2026-07-03,2026-08-02,29,overdue
INV000127,CUST002145,134400.0,2026-07-12,2026-08-11,20,overdue
INV000128,CUST003758,63700.0,2026-03-24,2026-04-23,130,overdue
INV000129,CUST008712,27500.0,2026-07-16,2026-08-15,16,written_off
INV000130,CUST003097,9000.0,2026-04-09,2026-05-24,99,written_off
INV000131,CUST006534,133700.0,2026-08-05,2026-09-04,-4,not_yet_due
INV000132,CUST000693,101400.0,2026-06-16,2026-07-01,61,overdue
INV000133,CUST000339,38800.0,2026-08-01,2026-08-31,0,written_off
INV000134,CUST008611,12500.0,2026-02-26,2026-04-27,126,written_off
INV000135,CUST004573,16300.0,2026-04-14,2026-04-29,124,overdue
INV000136,CUST000281,114200.0,2026-05-17,2026-06-16,76,overdue
INV000137,CUST002367,58300.0,2026-02-25,2026-04-11,142,overdue
INV000138,CUST008262,72100.0,2026-04-04,2026-06-03,89,overdue
INV000139,CUST004796,5000.0,2026-07-28,2026-09-26,-10,written_off
INV000140,CUST009776,22600.0,2026-07-19,2026-09-17,-10,overdue
INV000141,CUST007042,25200.0,2026-08-03,2026-09-17,-10,overdue
INV000142,CUST000071,178800.0,2026-02-20,2026-04-06,147,paid
INV000143,CUST003619,166900.0,2026-03-06,2026-05-05,118,overdue
INV000144,CUST006833,38300.0,2026-04-09,2026-05-09,114,overdue
INV000145,CUST000204,9400.0,2026-04-30,2026-05-15,108,overdue
INV000146,CUST003270,21200.0,2026-04-13,2026-04-28,125,overdue
INV000147,CUST004629,30900.0,2026-08-04,2026-09-03,-3,written_off
INV000148,CUST005064,30400.0,2026-07-27,2026-09-10,-10,written_off
INV000149,CUST009555,22800.0,2026-04-05,2026-05-05,118,written_off
INV000150,CUST006542,28600.0,2026-07-20,2026-08-19,12,overdue
INV000151,CUST003330,58100.0,2026-07-17,2026-08-16,15,overdue
INV000152,CUST008358,18000.0,2026-04-27,2026-06-26,66,written_off
INV000153,CUST000445,161400.0,2026-04-17,2026-05-17,106,overdue
INV000154,CUST009885,161000.0,2026-04-24,2026-05-24,99,paid
INV000155,CUST001764,37200.0,2026-03-29,2026-04-28,125,written_off
INV000156,CUST000633,41700.0,2026-07-24,2026-08-08,23,paid
INV000157,CUST009328,174300.0,2026-03-06,2026-04-20,133,paid
INV000158,CUST008968,142400.0,2026-07-15,2026-08-29,2,overdue
INV000159,CUST008950,59000.0,2026-05-24,2026-06-23,69,overdue
INV000160,CUST006452,31900.0,2026-06-14,2026-06-29,63,paid
INV000161,CUST007023,158700.0,2026-06-23,2026-07-23,39,overdue
INV000162,CUST003261,24600.0,2026-05-16,2026-06-15,77,overdue
INV000163,CUST002937,75700.0,2026-04-13,2026-04-28,125,overdue
INV000164,CUST009173,116600.0,2026-07-11,2026-09-09,-9,not_yet_due
INV000165,CUST007463,60600.0,2026-03-11,2026-04-25,128,overdue
INV000166,CUST008443,49400.0,2026-05-14,2026-06-13,79,overdue
INV000167,CUST009147,183700.0,2026-08-10,2026-09-24,-10,not_yet_due
INV000168,CUST003133,9100.0,2026-02-26,2026-03-28,156,overdue
INV000169,CUST004548,108900.0,2026-06-23,2026-07-23,39,overdue
INV000170,CUST009871,100000.0,2026-04-13,2026-05-13,110,paid
INV000171,CUST002463,8400.0,2026-03-18,2026-05-02,121,written_off
INV000172,CUST002771,16100.0,2026-06-14,2026-08-13,18,written_off
INV000173,CUST002374,56400.0,2026-04-30,2026-06-14,78,overdue
INV000174,CUST003038,113300.0,2026-05-07,2026-07-06,56,paid
INV000175,CUST004863,13700.0,2026-06-08,2026-06-23,69,overdue
INV000176,CUST002568,39500.0,2026-02-26,2026-03-13,171,overdue
INV000177,CUST002398,13800.0,2026-06-17,2026-07-02,60,overdue
INV000178,CUST008884,169900.0,2026-03-14,2026-04-28,125,overdue
INV000179,CUST002127,59400.0,2026-08-07,2026-09-06,-6,not_yet_due
INV000180,CUST007647,100600.0,2026-05-31,2026-07-30,32,overdue
INV000181,CUST002810,118500.0,2026-07-13,2026-08-12,19,written_off
