negotiation_id,customer_id,invoice_amount,offer_amount,offer_discount_pct,days_to_payment,customer_score,true_accept_probability,accepted
NEG000001,CUST005995,6400.0,5600.0,12,7,0.626,0.888,0
NEG000002,CUST001689,17800.0,17800.0,0,7,0.744,0.647,1
NEG000003,CUST009860,17600.0,16200.0,8,45,0.751,0.942,1
NEG000004,CUST009161,172700.0,141600.0,18,45,0.778,0.98,1
NEG000005,CUST006401,5600.0,5200.0,8,7,0.308,0.667,1
NEG000006,CUST008982,5600.0,5200.0,8,0,0.713,0.821,1
NEG000007,CUST002708,44800.0,42600.0,5,7,0.756,0.785,1
NEG000008,CUST007162,12600.0,12600.0,0,15,0.562,0.593,1
NEG000009,CUST001706,10600.0,8700.0,18,30,0.745,0.979,1
NEG000010,CUST007819,5100.0,4500.0,12,7,0.786,0.922,1
NEG000011,CUST007062,41500.0,36500.0,12,15,0.703,0.916,1
NEG000012,CUST001448,10500.0,9700.0,8,15,0.751,0.882,0
NEG000013,CUST006543,23600.0,21700.0,8,15,0.781,0.886,1
NEG000014,CUST003577,9900.0,9700.0,2,0,0.793,0.7,1
NEG000015,CUST003611,18600.0,16400.0,12,15,0.707,0.921,1
NEG000016,CUST001499,76600.0,67400.0,12,30,0.814,0.952,1
NEG000017,CUST002711,17800.0,13400.0,25,30,0.609,0.98,1
NEG000018,CUST009027,31800.0,23800.0,25,7,0.799,0.98,1
NEG000019,CUST002307,5000.0,4400.0,12,15,0.7,0.922,1
NEG000020,CUST008128,8000.0,7600.0,5,7,0.724,0.785,1
NEG000021,CUST004020,12900.0,12300.0,5,0,0.782,0.777,1
NEG000022,CUST000859,5000.0,4400.0,12,15,0.801,0.938,1
NEG000023,CUST007750,5000.0,4800.0,5,30,0.693,0.863,1
NEG000024,CUST007017,29600.0,26000.0,12,30,0.682,0.941,1
NEG000025,CUST004719,13300.0,11700.0,12,0,0.624,0.865,1
NEG000026,CUST006558,17000.0,15600.0,8,30,0.313,0.785,1
NEG000027,CUST009835,19000.0,18600.0,2,15,0.719,0.74,0
NEG000028,CUST004927,76900.0,63100.0,18,15,0.864,0.973,1
NEG000029,CUST007714,26500.0,26500.0,0,15,0.788,0.713,0
NEG000030,CUST006524,52400.0,49800.0,5,7,0.665,0.741,1
NEG000031,CUST004273,18500.0,18500.0,0,0,0.723,0.59,0
NEG000032,CUST005926,12800.0,11300.0,12,7,0.173,0.715,1
NEG000033,CUST007189,7200.0,7100.0,2,15,0.387,0.559,1
NEG000034,CUST005526,12900.0,12600.0,2,7,0.722,0.701,1
NEG000035,CUST000384,32500.0,28600.0,12,30,0.712,0.944,1
NEG000036,CUST005839,18200.0,16700.0,8,0,0.748,0.829,0
NEG000037,CUST005661,23400.0,22200.0,5,7,0.789,0.807,1
NEG000038,CUST008056,18800.0,16500.0,12,0,0.743,0.895,1
NEG000039,CUST005687,50000.0,50000.0,0,30,0.864,0.809,1
NEG000040,CUST001025,8700.0,7700.0,12,0,0.709,0.889,1
NEG000041,CUST008897,45300.0,45300.0,0,30,0.76,0.768,1
NEG000042,CUST008467,21100.0,18600.0,12,7,0.752,0.913,1
NEG000043,CUST001397,20700.0,15500.0,25,0,0.66,0.978,1
NEG000044,CUST002233,9500.0,9500.0,0,45,0.354,0.66,0
NEG000045,CUST009982,18300.0,15000.0,18,45,0.751,0.98,1
NEG000046,CUST000546,14500.0,13800.0,5,0,0.802,0.785,1
NEG000047,CUST002162,16200.0,15900.0,2,15,0.792,0.774,0
NEG000048,CUST008022,124500.0,122000.0,2,7,0.886,0.733,0
NEG000049,CUST008061,34900.0,26200.0,25,7,0.8,0.98,1
NEG000050,CUST003045,29500.0,24200.0,18,30,0.733,0.977,1
NEG000051,CUST002780,13500.0,13200.0,2,7,0.25,0.418,0
NEG000052,CUST006656,5100.0,4800.0,5,0,0.801,0.788,0
NEG000053,CUST003745,26900.0,24700.0,8,0,0.255,0.581,1
NEG000054,CUST005107,10400.0,9600.0,8,15,0.33,0.722,1
NEG000055,CUST008012,27900.0,27900.0,0,0,0.705,0.574,1
NEG000056,CUST002232,9600.0,9100.0,5,7,0.783,0.809,0
NEG000057,CUST009057,64300.0,61100.0,5,30,0.618,0.821,1
NEG000058,CUST007392,17400.0,16500.0,5,0,0.787,0.777,0
NEG000059,CUST004238,38900.0,38900.0,0,30,0.663,0.725,1
NEG000060,CUST001446,38000.0,35000.0,8,30,0.802,0.922,1
NEG000061,CUST001439,15300.0,14100.0,8,30,0.748,0.916,1
NEG000062,CUST003633,32800.0,31200.0,5,15,0.633,0.773,1
NEG000063,CUST003362,77700.0,71500.0,8,15,0.769,0.87,1
NEG000064,CUST000755,24800.0,18600.0,25,0,0.638,0.977,1
NEG000065,CUST002051,5000.0,4100.0,18,0,0.708,0.95,1
NEG000066,CUST005277,5000.0,4900.0,2,7,0.749,0.718,1
NEG000067,CUST006181,33700.0,33700.0,0,15,0.863,0.747,1
NEG000068,CUST001769,12000.0,12000.0,0,0,0.27,0.321,0
NEG000069,CUST000685,31900.0,28100.0,12,30,0.793,0.954,1
NEG000070,CUST005067,5000.0,5000.0,0,0,0.637,0.545,1
NEG000071,CUST008375,11100.0,10200.0,8,0,0.739,0.828,1
NEG000072,CUST001521,61600.0,58500.0,5,15,0.801,0.83,1
NEG000073,CUST000485,70200.0,66700.0,5,30,0.882,0.897,1
NEG000074,CUST008690,26100.0,19600.0,25,7,0.8,0.98,1
NEG000075,CUST004722,35700.0,32800.0,8,30,0.754,0.913,1
NEG000076,CUST001849,7100.0,6500.0,8,7,0.692,0.839,1
NEG000077,CUST007785,11100.0,8300.0,25,15,0.685,0.98,1
NEG000078,CUST008488,68300.0,62800.0,8,30,0.873,0.93,1
NEG000079,CUST006430,27000.0,26500.0,2,7,0.255,0.414,0
NEG000080,CUST007329,138800.0,131900.0,5,0,0.802,0.734,1
NEG000081,CUST001713,14200.0,13100.0,8,0,0.765,0.837,1
NEG000082,CUST009226,6900.0,5200.0,25,15,0.795,0.98,1
NEG000083,CUST007202,56300.0,42200.0,25,30,0.861,0.98,1
NEG000084,CUST009712,18200.0,16700.0,8,15,0.634,0.845,0
NEG000085,CUST002493,98800.0,86900.0,12,7,0.806,0.909,1
NEG000086,CUST004364,12700.0,10400.0,18,0,0.741,0.953,1
NEG000087,CUST003285,18300.0,16800.0,8,0,0.315,0.622,1
NEG000088,CUST004465,9000.0,8300.0,8,15,0.315,0.715,1
NEG000089,CUST009937,43300.0,38100.0,12,45,0.864,0.973,1
NEG000090,CUST004933,18700.0,18700.0,0,0,0.802,0.637,1
NEG000091,CUST003373,31200.0,31200.0,0,7,0.748,0.643,0
NEG000092,CUST001020,18700.0,17200.0,8,15,0.675,0.858,1
NEG000093,CUST004835,48900.0,43000.0,12,7,0.782,0.914,0
NEG000094,CUST009395,40200.0,30200.0,25,7,0.747,0.98,1
NEG000095,CUST006082,46700.0,44400.0,5,0,0.861,0.797,1
NEG000096,CUST007342,129600.0,123100.0,5,7,0.728,0.738,1
NEG000097,CUST008435,11900.0,11700.0,2,0,0.654,0.622,0
NEG000098,CUST003330,62100.0,59000.0,5,30,0.883,0.899,0
NEG000099,CUST007171,15000.0,13200.0,12,7,0.762,0.916,1
NEG000100,CUST007896,17000.0,16700.0,2,30,0.707,0.805,1
NEG000101,CUST008676,28200.0,24800.0,12,15,0.685,0.915,1
NEG000102,CUST009365,5300.0,5200.0,2,30,0.71,0.81,1
NEG000103,CUST008146,6300.0,5200.0,18,45,0.629,0.98,1
NEG000104,CUST007191,15600.0,15600.0,0,45,0.797,0.853,0
NEG000105,CUST002525,14200.0,12500.0,12,15,0.788,0.935,0
NEG000106,CUST001004,5000.0,4900.0,2,0,0.223,0.362,0
NEG000107,CUST008840,36700.0,32300.0,12,0,0.67,0.872,1
NEG000108,CUST002490,42700.0,35000.0,18,7,0.746,0.959,1
NEG000109,CUST005036,8300.0,8100.0,2,45,0.411,0.75,1
NEG000110,CUST006689,23000.0,21200.0,8,0,0.801,0.846,1
NEG000111,CUST009469,8600.0,7900.0,8,15,0.737,0.878,0
NEG000112,CUST009821,35600.0,34900.0,2,0,0.804,0.694,1
NEG000113,CUST006973,97300.0,95400.0,2,7,0.845,0.725,1
NEG000114,CUST004892,136500.0,136500.0,0,7,0.813,0.625,0
NEG000115,CUST000364,17000.0,15000.0,12,15,0.389,0.841,1
NEG000116,CUST006665,27500.0,27000.0,2,15,0.761,0.755,1
NEG000117,CUST004885,42100.0,40000.0,5,0,0.794,0.77,0
NEG000118,CUST005785,108200.0,106000.0,2,7,0.895,0.744,1
NEG000119,CUST007757,37000.0,35200.0,5,45,0.363,0.793,1
NEG000120,CUST003604,59700.0,54900.0,8,15,0.76,0.872,1
NEG000121,CUST002149,15000.0,14700.0,2,0,0.764,0.682,1
NEG000122,CUST008074,19700.0,18700.0,5,30,0.732,0.871,0
NEG000123,CUST008883,24800.0,20300.0,18,15,0.685,0.963,1
NEG000124,CUST002109,8100.0,8100.0,0,0,0.785,0.633,1
NEG000125,CUST000134,15800.0,11800.0,25,30,0.837,0.98,1
NEG000126,CUST000490,6400.0,6300.0,2,30,0.799,0.842,1
NEG000127,CUST009835,15100.0,14300.0,5,15,0.719,0.815,1
NEG000128,CUST002593,25900.0,24600.0,5,7,0.745,0.788,1
NEG000129,CUST007310,31700.0,26000.0,18,0,0.611,0.934,1
NEG000130,CUST001535,187200.0,172200.0,8,15,0.854,0.866,1
NEG000131,CUST005704,5000.0,4100.0,18,0,0.633,0.941,1
NEG000132,CUST000861,6300.0,6000.0,5,30,0.796,0.89,1
NEG000133,CUST008107,167900.0,137700.0,18,15,0.796,0.961,1
NEG000134,CUST002249,10500.0,8600.0,18,30,0.674,0.975,1
NEG000135,CUST004605,10600.0,10100.0,5,0,0.689,0.734,0
NEG000136,CUST003099,8100.0,7100.0,12,7,0.762,0.917,1
NEG000137,CUST009279,49700.0,48700.0,2,30,0.803,0.83,1
NEG000138,CUST006317,5000.0,4800.0,5,45,0.739,0.913,1
NEG000139,CUST003743,5000.0,4400.0,12,30,0.678,0.943,1
NEG000140,CUST008850,24700.0,21700.0,12,15,0.698,0.918,1
NEG000141,CUST000373,20100.0,15100.0,25,30,0.616,0.98,1
NEG000142,CUST005814,10400.0,10400.0,0,30,0.802,0.799,1
NEG000143,CUST006973,41400.0,40600.0,2,0,0.845,0.713,1
NEG000144,CUST003936,22000.0,20900.0,5,30,0.79,0.885,0
NEG000145,CUST000033,67200.0,61800.0,8,15,0.808,0.883,1
NEG000146,CUST008537,12000.0,10600.0,12,30,0.303,0.865,1
NEG000147,CUST001954,8300.0,8300.0,0,15,0.754,0.704,0
NEG000148,CUST007549,6100.0,4600.0,25,0,0.353,0.956,1
NEG000149,CUST002390,58000.0,55100.0,5,15,0.892,0.861,1
NEG000150,CUST009307,9500.0,7800.0,18,45,0.692,0.98,1
NEG000151,CUST009996,19800.0,16200.0,18,0,0.748,0.953,1
NEG000152,CUST001783,85900.0,81600.0,5,0,0.859,0.781,1
NEG000153,CUST008628,8400.0,7700.0,8,15,0.748,0.881,1
NEG000154,CUST006158,77000.0,73200.0,5,0,0.784,0.751,1
NEG000155,CUST004704,7700.0,7700.0,0,15,0.723,0.688,0
NEG000156,CUST001024,35400.0,29000.0,18,15,0.67,0.96,1
NEG000157,CUST006208,91400.0,74900.0,18,7,0.774,0.957,1
NEG000158,CUST007466,43200.0,41000.0,5,0,0.865,0.8,0
NEG000159,CUST008206,19900.0,18300.0,8,30,0.722,0.91,1
NEG000160,CUST004046,14000.0,12900.0,8,45,0.816,0.951,1
NEG000161,CUST001633,13400.0,12700.0,5,30,0.678,0.856,1
NEG000162,CUST000729,19600.0,18000.0,8,7,0.686,0.833,1
NEG000163,CUST008112,81700.0,80100.0,2,0,0.788,0.662,1
NEG000164,CUST002744,21300.0,20200.0,5,0,0.795,0.779,1
NEG000165,CUST002283,229400.0,172000.0,25,45,0.844,0.98,1
NEG000166,CUST007894,14700.0,12900.0,12,7,0.329,0.786,1
NEG000167,CUST003416,42100.0,37000.0,12,15,0.815,0.935,1
NEG000168,CUST008669,14200.0,13500.0,5,0,0.803,0.785,0
NEG000169,CUST004464,9800.0,9300.0,5,45,0.686,0.901,1
NEG000170,CUST003695,15100.0,13300.0,12,0,0.715,0.889,1
NEG000171,CUST002956,29300.0,27800.0,5,0,0.77,0.765,0
NEG000172,CUST004310,25400.0,25400.0,0,7,0.802,0.676,0
NEG000173,CUST006365,5000.0,4800.0,5,15,0.789,0.843,0
NEG000174,CUST007241,13700.0,12600.0,8,30,0.793,0.924,1
NEG000175,CUST008410,17800.0,16900.0,5,15,0.674,0.797,1
NEG000176,CUST009721,11700.0,9600.0,18,7,0.679,0.955,1
