transaction_id,customer_id,amount,timestamp,payment_method,status,device,city
TXN0000001,CUST004122,1450.0,2026-08-08 20:04:51,Card,success,Android,Chennai
TXN0000002,CUST009085,2120.0,2026-04-10 12:04:57,UPI,failed,Android,Chennai
TXN0000003,CUST008005,2910.0,2026-08-14 01:38:43,UPI,success,Android,Delhi
TXN0000004,CUST008030,4250.0,2026-08-29 01:16:52,Card,success,iOS,Bangalore
TXN0000005,CUST004691,1750.0,2026-08-25 12:09:05,Card,success,Desktop,Delhi
TXN0000006,CUST006391,490.0,2026-07-08 17:41:14,Wallet,failed,Desktop,Kolkata
TXN0000007,CUST000197,680.0,2026-07-27 16:11:44,UPI,success,Desktop,Chennai
TXN0000008,CUST001063,1290.0,2026-08-20 13:47:16,UPI,success,Desktop,Nagpur
TXN0000009,CUST006781,390.0,2026-08-20 23:28:43,Wallet,success,iOS,Hyderabad
TXN0000010,CUST001227,1130.0,2026-08-24 01:08:35,NetBanking,success,Android,Hyderabad
TXN0000011,CUST007002,3810.0,2026-08-16 16:15:28,NetBanking,success,Android,Ahmedabad
TXN0000012,CUST001269,860.0,2026-07-22 01:34:05,UPI,failed,Android,Nagpur
TXN0000013,CUST002331,1590.0,2026-08-21 04:45:35,UPI,success,iOS,Ahmedabad
TXN0000014,CUST003229,390.0,2026-08-29 21:21:26,Card,success,Android,Mumbai
TXN0000015,CUST000076,820.0,2026-08-04 15:01:30,UPI,failed,iOS,Hyderabad
TXN0000016,CUST006056,1880.0,2026-04-01 09:21:02,UPI,success,Android,Delhi
TXN0000017,CUST006726,2570.0,2026-07-23 22:36:19,NetBanking,success,Android,Indore
TXN0000018,CUST004561,1810.0,2026-07-29 09:42:26,NetBanking,success,Android,Indore
TXN0000019,CUST003275,1570.0,2026-06-24 18:27:04,UPI,success,iOS,Bangalore
TXN0000020,CUST008436,1590.0,2026-08-20 07:34:52,Card,failed,iOS,Lucknow
TXN0000021,CUST000312,1130.0,2026-08-07 18:59:44,Card,success,Desktop,Lucknow
TXN0000022,CUST006279,2030.0,2026-08-25 07:03:58,UPI,success,Android,Kolkata
TXN0000023,CUST005052,2820.0,2026-08-02 14:17:05,Card,success,iOS,Nagpur
TXN0000024,CUST007425,490.0,2026-08-18 15:52:05,UPI,success,Android,Lucknow
TXN0000025,CUST005881,1770.0,2026-08-06 19:00:39,Card,success,Android,Chennai
TXN0000026,CUST002003,2280.0,2026-08-22 19:35:17,UPI,failed,Desktop,Mumbai
TXN0000027,CUST003530,370.0,2026-08-30 22:56:46,UPI,success,Desktop,Indore
TXN0000028,CUST003778,400.0,2026-04-19 20:34:08,UPI,success,iOS,Delhi
TXN0000029,CUST006244,1570.0,2026-08-08 13:34:06,Wallet,success,Android,Hyderabad
TXN0000030,CUST009729,5160.0,2026-08-23 08:32:58,UPI,success,Android,Bangalore
TXN0000031,CUST006128,1090.0,2026-04-04 22:55:29,UPI,success,Android,Nagpur
TXN0000032,CUST008539,810.0,2026-07-18 20:23:26,Card,abandoned,Android,Jaipur
TXN0000033,CUST007126,610.0,2026-07-19 07:08:29,UPI,success,iOS,Hyderabad
TXN0000034,CUST002169,1980.0,2026-06-01 22:36:21,UPI,abandoned,Android,Hyderabad
TXN0000035,CUST007576,1240.0,2026-08-19 08:52:16,UPI,success,Android,Pune
TXN0000036,CUST007845,340.0,2026-08-13 20:10:44,Wallet,success,Android,Hyderabad
TXN0000037,CUST000735,2070.0,2026-03-31 03:39:35,Card,success,Desktop,Pune
TXN0000038,CUST003847,680.0,2026-08-24 16:35:31,Card,abandoned,iOS,Lucknow
TXN0000039,CUST007591,1030.0,2026-08-29 07:06:40,NetBanking,abandoned,Desktop,Pune
TXN0000040,CUST008692,4280.0,2026-08-18 21:03:48,UPI,success,Android,Kolkata
TXN0000041,CUST003752,2460.0,2026-08-09 15:32:16,UPI,failed,iOS,Indore
TXN0000042,CUST009850,680.0,2026-03-28 01:11:35,UPI,success,Android,Hyderabad
TXN0000043,CUST007942,2110.0,2026-07-23 01:58:00,NetBanking,success,Android,Ahmedabad
TXN0000044,CUST001260,1650.0,2026-06-06 03:32:10,UPI,success,Android,Nagpur
